genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.9625580054243519,33.58174014655298,774656
3300020492-bin.7,2555680,0.3561067895824203,1.4237258878045471,19110
3300020495-bin.7,5532598,0.07186822537983059,0.08205356201245546,2709
3300020497-bin.26,1115662,0.8662157535167461,2.6523686318099946,17008
3300020497-bin.28,2077447,0.9403681537964627,3.6837340718358176,45447
3300020497-bin.30,1842193,0.9895537546825984,7.87669212542165,84705
3300020497-bin.31,2429201,0.9053532416625878,2.8223266297712697,35930
3300020500-bin.11,1335224,0.9972484017662954,14.442886290759448,118023
3300020500-bin.15,1886585,0.9928521640954423,9.073403184698861,102729
3300020502-bin.7,1668780,0.9795707043468882,6.111936070808916,61798
3300020508-bin.4,5675695,0.9985307526214852,28.28511907144409,957098
3300020509-bin.11,1732222,0.0027000003463759263,0.02965400450760353,320
3300020509-bin.3,3028046,0.006724468518642055,0.01022745633863901,196
3300020509-bin.4,2331221,0.5494455480625818,0.9963026643094584,15298
3300020509-bin.9,1690287,0.004081555380831776,0.016710289111814446,169
3300020510-bin.6,4630102,0.9829405486099442,8.788358005881468,249746
3300020512-bin.21,2627940,0.079278826761646,0.10553257369158547,1700
3300020513-bin.8,2366479,0.14462710212091465,0.4812146576557747,7104
3300020516-bin.14,1185293,0.004553304541577484,0.017508041332702378,131
3300020516-bin.18,835254,0.00017958608997981453,0.0001800873288795983,1
3300020517-bin.16,4826932,0.38113754243896536,0.5641955174845477,14774
3300020518-bin.8,3501331,0.002604723746483837,0.0028576272788686063,63
3300020519-bin.18,2530461,0.003920234297228845,0.004185969185987534,56
3300020519-bin.22,1656815,0.5068429486695859,0.8367666851446458,6892
3300020520-bin.11,2293813,0.9851836222046,9.24195847416371,133297
3300020521-bin.7,1576449,0.0021421562004225953,0.008100937885266188,75
3300020522-bin.12,2422381,0.2820902244527182,1.183737695246989,18232
3300020522-bin.7,2411729,0.76181486394201,2.7779846651984403,41239
3300020523-bin.14,1566836,0.9968822518757547,20.397687296469435,187097
3300020523-bin.3,4818280,0.12557012045792273,0.14233017479893245,3738
3300020524-bin.12,2228983,0.02149993965857972,0.030609864254229784,348
3300020525-bin.11,1614305,0.020846122634818078,0.023523748975375784,193
3300020528-bin.19,1077450,0.9989697897814284,16.139346910672426,92122
3300020533-bin.7,2370078,0.14832043502365744,0.19135580002117525,2388
3300020534-bin.11,2328727,0.74531106480064,1.8764842618355606,28555
3300020534-bin.13,1337114,0.9379147926055669,4.065803433897411,30569
3300020536-bin.4,2760056,0.004516937337503297,0.007949309569545508,142
3300020537-bin.19,4310370,0.08946401353016098,0.23458446874254588,5980
3300020538-bin.10,2226241,0.3530206298419623,0.4808378546606947,5412
3300020538-bin.12,2107864,0.22156742560241077,0.29626683897710715,3178
3300020538-bin.15,1233688,0.7925974800759997,1.971395061222976,14617
3300020539-bin.14,2892631,0.9946598788438622,10.001810780959719,161376
3300020539-bin.2,2652915,0.995646298505606,8.806056061435623,117598
3300020539-bin.6,2963442,0.7898305416471791,2.6612849565015217,48908
3300020540-bin.12,2304448,0.9025120115533091,3.279093433869195,44790
3300020540-bin.20,900323,0.9989470445606743,31.463931184178342,147700
3300020540-bin.4,1192163,0.7113960087672575,1.6768454054833108,11223
3300020542-bin.8,4789593,0.30481316470940223,1.1391448715560821,28553
3300020543-bin.11,2546855,0.02816061377659898,0.032070887000747964,440
3300020544-bin.10,1670847,0.9421532911152248,4.202426109314378,35505
3300020544-bin.2,1167181,0.002569438673179224,0.027158109216549098,206
3300020544-bin.4,1837905,0.0022786814334799675,0.009634582301573257,103
3300020544-bin.7,6185992,0.8701498482377604,2.6548385717566774,96729
3300020546-bin.10,2648679,0.00505497268638442,0.009167812400355725,132
3300020546-bin.16,2792585,0.9753171344829253,5.4040361719684045,76150
3300020546-bin.23,1278754,0.9858635828314124,6.007513739401952,42261
3300020547-bin.20,2389223,0.019194943293279865,0.021920181366515818,340
3300020547-bin.4,1279585,0.011666282427505793,0.024455180419927166,179
3300020547-bin.9,3685659,0.0003424082368987473,0.0006258537368462466,14
3300020548-bin.13,1400347,0.5098022133085586,0.9080334068749899,7391
3300020548-bin.16,3959933,0.0050493278547894625,0.008024449544962071,204
3300020548-bin.2,4352364,0.0012402455309344531,0.0019434432574989132,53
3300020548-bin.6,836275,0.9998959672356581,143.65751719873728,590527
3300020549-bin.11,2823801,0.007965858783958219,0.011224337520784005,201
3300020551-bin.8,3712937,0.5749882101419981,1.6847188264582806,40531
3300020552-bin.15,1237357,0.8952008191653662,2.9146279183900052,21684
3300020553-bin.6,3312638,0.009038114034796436,0.03634608010808107,622
3300020555-bin.16,4405293,0.0013027510315431912,0.0022963505458028105,53
3300020555-bin.7,5011034,0.11504970830371536,0.3559235781510357,10715
3300020556-bin.9,1216607,0.9235759781096115,4.269641267253682,28814
3300020557-bin.14,1790125,0.002838349277285106,0.009593350083926708,103
3300020557-bin.24,1191111,0.9984014923881989,22.581398270405536,139535
3300020557-bin.7,1997574,0.5553040838537145,1.0693896502086528,11931
3300020558-bin.18,831182,0.6665772357919204,7.996753184329087,32700
