genome,length,breadth,coverage,reads
3300020491-bin.6,4439240,0.08907110226074734,0.09821819890665273,2320
3300020492-bin.7,2555680,0.2140408814875102,0.2662533196941671,3663
3300020495-bin.7,5532598,0.012937502417489938,0.013311630822671552,413
3300020497-bin.26,1115662,0.8987220143735289,3.139891320382517,19265
3300020497-bin.28,2077447,0.9797395553292093,5.321596700711646,60344
3300020497-bin.30,1842193,0.9890988620627698,6.739841316623508,67540
3300020497-bin.31,2429201,0.41431647689919443,0.5920505318861393,7914
3300020500-bin.11,1335224,0.9513489871362408,3.608646874378605,26097
3300020500-bin.15,1886585,0.841173867066684,2.1097713340376725,21826
3300020502-bin.7,1668780,0.991576481022064,7.579618305209071,68619
3300020508-bin.4,5675695,0.020713410428150208,0.021424217244459066,641
3300020509-bin.11,1732222,0.004030083903795241,0.032088925684859326,310
3300020509-bin.3,3028046,0.008511759728881265,0.008807252084982562,150
3300020509-bin.4,2331221,0.17650192753068028,0.20440149621109965,2605
3300020509-bin.9,1690287,0.03660620947803539,0.05119187539275252,480
3300020510-bin.6,4630102,0.00866006839590143,0.008859257720064658,232
3300020512-bin.21,2627940,0.013232037261124683,0.02804796577584459,427
3300020513-bin.8,2366479,0.008960992258963633,0.01325285645578562,170
3300020516-bin.14,1185293,0.011190482015839122,0.028485123201219018,204
3300020517-bin.16,4826932,0.007475555901761201,0.007761005968428168,194
3300020518-bin.8,3501331,0.00302884817230933,0.003065675110661003,61
3300020519-bin.18,2530461,0.006114300911968214,0.006234354176317594,85
3300020519-bin.22,1656815,0.3509589181652749,0.5181541354047868,4715
3300020520-bin.11,2293813,0.009634176805171127,0.01459268464878854,190
3300020521-bin.7,1576449,0.003250343017756997,0.011296849067796991,99
3300020522-bin.12,2422381,0.0022230194176721166,0.0024148622087858183,34
3300020522-bin.7,2411729,0.19969822480054766,0.26855247179225833,3578
3300020523-bin.14,1566836,0.9407800178193506,5.885165695311063,50046
3300020523-bin.3,4818280,0.005702242293930614,0.005908713344537322,160
3300020524-bin.12,2228983,0.7091399979273059,2.221384749952878,26834
3300020525-bin.11,1614305,0.0026766936855179163,0.0027539787720344674,24
3300020528-bin.19,1077450,0.9965418348879298,10.048153268083531,59810
3300020533-bin.7,2370078,0.003988476328627159,0.017833076771339166,228
3300020534-bin.11,2328727,0.045411076523783164,0.04860460997821105,611
3300020534-bin.13,1337114,0.4897764887661037,1.1194775783275768,8321
3300020536-bin.4,2760056,0.006894063019011208,0.007257230694965572,106
3300020537-bin.19,4310370,0.0014402475889540806,0.0014662027744780611,34
3300020538-bin.10,2226241,0.020068806566764335,0.052277609762497845,667
3300020538-bin.12,2107864,0.5523420865862314,0.9553326981008212,11276
3300020538-bin.15,1233688,0.8143849984761139,1.8913373722373406,12610
3300020539-bin.14,2892631,0.0028831883499831124,0.005195699589653675,84
3300020539-bin.2,2652915,0.004724237301232795,0.0060206602357141484,92
3300020539-bin.6,2963442,0.23507090741104433,0.2879924764302951,4634
3300020540-bin.12,2304448,0.98988477934846,13.525040181916706,167571
3300020540-bin.20,900323,0.9946519193667162,7.5696719445721135,37402
3300020540-bin.4,1192163,0.9741327318495877,5.410791779529225,34990
3300020542-bin.8,4789593,0.07196206441758203,0.07930238181870068,2016
3300020543-bin.11,2546855,0.0027453467119250997,0.004444679183314715,63
3300020544-bin.10,1670847,0.6088684361883524,1.1822992073493521,10778
3300020544-bin.2,1167181,0.0033456678955534748,0.023006645730397342,172
3300020544-bin.4,1837905,0.0014407708777113071,0.0021353357382919683,24
3300020544-bin.7,6185992,0.0027251894279850344,0.0030127561727218855,97
3300020546-bin.10,2648679,0.0022105358935529747,0.003914472625073102,61
3300020546-bin.16,2792585,0.010247494704726983,0.01376186083200951,219
3300020546-bin.23,1278754,0.9798765047851268,5.374098251800657,36862
3300020547-bin.20,2389223,0.01942263237881102,0.020462173992864846,267
3300020547-bin.4,1279585,0.007778303121715243,0.020306046740623637,158
3300020547-bin.9,3685659,0.0002469029283501268,0.0002494638005257676,5
3300020548-bin.13,1400347,0.007566695968927701,0.07723136338212745,604
3300020548-bin.16,3959933,0.004933416802759037,0.005046303981664742,109
3300020548-bin.2,4352364,0.0013583422710049067,0.0014439789014384365,36
3300020548-bin.6,836275,0.9999724970852889,154.5758602393363,707918
3300020549-bin.11,2823801,0.020302068028164873,0.020972323316113865,315
3300020551-bin.8,3712937,0.058620978486842085,0.06536451213797997,1348
3300020552-bin.15,1237357,0.026990593660519962,0.03639126478727885,243
3300020553-bin.6,3312638,0.003007874690805334,0.011226003833227173,206
3300020555-bin.16,4405293,0.004805809738421485,0.004872914051596681,110
3300020555-bin.7,5011034,0.0018842418550742222,0.001887028877130408,50
3300020556-bin.9,1216607,0.9960965208978741,12.406768862164032,83428
3300020557-bin.14,1790125,0.011541652119265415,0.025034701035495342,251
3300020557-bin.24,1191111,0.9988053170527348,25.312686210550485,167277
3300020557-bin.7,1997574,0.04124853447231492,0.045023347953329164,489
3300020558-bin.18,831182,0.7172304020058182,8.19449658271096,37707
3300020558-bin.22,1903551,0.9849996138795336,7.569453486671069,78210
3300020558-bin.31,2346779,0.006030819263339241,0.0066698258092002275,89
3300020560-bin.28,1013543,0.998089868905414,20.650286425392306,112240
3300020560-bin.30,1063131,0.9959628681695859,13.81258728225167,79933
3300020562-bin.12,1753974,0.4873378966848996,0.9359960624190379,9068
